country,region,sub_region,lon,lat,date,avg_temperature,min_temperature,max_temperature,relative_humidity,specific_humidity,pressure
Japan,Hokkaido,,141.350006,43.066666,2019-11-01,8.89,7.43,11.88,73.78,0.005313,98.85
Japan,Hokkaido,,141.350006,43.066666,2019-11-02,8.7,6.26,11.66,73.56,0.005204,99.32
Japan,Hokkaido,,141.350006,43.066666,2019-11-03,5.48,3.35,8.03,74.56,0.004219,99.46
Japan,Hokkaido,,141.350006,43.066666,2019-11-04,5.54,3.51,8.52,79.55,0.004523,99.41
Japan,Hokkaido,,141.350006,43.066666,2019-11-05,6.5,4.0,9.15,76.67,0.004682,98.96
Japan,Hokkaido,,141.350006,43.066666,2019-11-06,3.92,1.75,5.49,74.78,0.003818,98.85
Japan,Hokkaido,,141.350006,43.066666,2019-11-07,2.92,0.36,5.13,82.9,0.003947,98.81
Japan,Hokkaido,,141.350006,43.066666,2019-11-08,1.92,0.03,3.76,80.17,0.003538,99.24
Japan,Hokkaido,,141.350006,43.066666,2019-11-09,1.83,0.63,3.27,78.53,0.003439,99.34
Japan,Hokkaido,,141.350006,43.066666,2019-11-10,3.15,1.12,5.6,74.29,0.003577,99.27
